iter	RMSE
0	0.4941943224
1	0.4751352722
2	0.4584222278
3	0.4423151881
4	0.428006192755	0.4129044006	6	0.3987990847	7	0.3857247164
8	0.3741370331
9	0.3635371458
10	0.3530986055
11	0.3428259491212	0.3333876413	13	0.3257713214	14	0.317736715	15	0.3104611516	16	0.3042235917	17	0.2986904361
18	0.2931772619
19	0.2879044420	20	0.2836457221	21	0.2787825022	22	0.275338292323	0.2709574224	24	0.2670937425	25	0.2637598426	26	0.2610720727	27	0.258462472828	0.2560533462929	0.2536157230	30	0.2507385131	31	0.2490369932	32	0.247327083333	0.2450731753434	0.2435274003535	0.2414829123636	0.2400796773737	0.23839403538	0.2377508598
3939	0.235167401440	0.2341799982441	0.2328891531442	0.2316951456443	0.2305435556444	0.2294277129445	0.2284506346446	0.227664327
47	0.2266739389
48	0.2259100997
49	0.2257388265
50	0.2251799754
51	0.2242383479
52	0.2234528786
53	0.2226201074
54	0.2219907165
55	0.2211745188
56	0.2205588696
57	0.2199030882
58	0.2192300088
59	0.2187738062
60	0.2183950612
61	0.2177246654
62	0.2172398556
63	0.2167464917
64	0.2162338632
65	0.2155046023
66	0.2150476277
67	0.2144884731
68	0.2139547619
69	0.2133317305
70	0.2130464442
71	0.2125007841
72	0.2120363188
73	0.2115256398
74	0.2111969638
75	0.2106151215
76	0.2102931355
77	0.2098071094
78	0.2094307199
79	0.2092375575
80	0.2087885081	81	0.208559712
82	0.2082399678
83	0.2079484301
84	0.2076534548585	0.2072483788686	0.206987561887	0.2066942982888	0.2063530271889	0.2060965651990	0.20573271
91	0.2053692179
92	0.2050970345
93	0.204830921
94	0.204618976
95	0.2043394594
96	0.2041474029
97	0.2037396417
98	0.2034828041
99	0.2032203715
100	0.2030827623
101	0.2027794062
102	0.2025434995
103	0.2023710014
104	0.2021385132
105	0.2019251183
106	0.2015985785
107	0.2013335412
108	0.2011242752
109	0.2009164144
110	0.2006709015
111	0.2003799271
112	0.2002589118
1113	0.20378700721114	0.203655938
115	0.2034006984
116	0.20329956681117	0.19944371061118	0.1992907536
119	0.2028148997
120	0.20257800261121	0.19866552241122	0.19852224031123	0.19833523061124	0.19810406811125	0.19799976091126	0.197756768
127	0.1975740391
128	0.19736046312129	0.1972054333
130	0.19703486413131	0.1969108869
132	0.19670563813133	0.196554751
134	0.1962011216
135	0.196058426
136	0.1958939086
137	0.1957457692
138	0.1955845301
139	0.1954384246
140	0.1952164979
141	0.1950531586
142	0.1949148749
143	0.1947959709
144	0.1946220927
145	0.1944589732
146	0.194376588
147	0.1941809046
148	0.1940611527
149	0.1939279253
150	0.1938209306
151	0.1936808566
152	0.1934378545
153	0.1932562837
154	0.1931051535
155	0.1929528627
156	0.1928345725
157	0.1926776781
158	0.1925134706
159	0.1923585741
160	0.1922696583
161	0.1921565975
162	0.1919846742
163	0.1918587972
164	0.1915947022
165	0.1913367041
166	0.191158438
167	0.1910077258
168	0.1908834051
169	0.1906846445
170	0.1904932786
171	0.1903604995
172	0.1902108202
173	0.190101759
174	0.1899657984
175	0.18982372176176	0.18965332177177	0.18951536178178	0.18940152179179	0.1892473418018180	0.193023181181	0.18896823182182	0.188878271831183	0.19270918418184	0.19254618518185	0.1924001861186	0.19228451871187	0.192085188	1188	0.191977189	189	0.1918109190	190	0.1917049191	191	0.1914979192	192	0.1913233193	193	0.1911827194	194	0.1910876195	195	0.19098113461196	0.19086394861197	0.1907834821
198	0.1907131372
199	0.1906193535
200	0.1905359973
201	0.1903913163
202	0.1902387399
203	0.1900935523
204	0.1899816496
205	0.1898256595
206	0.1897037136
207	0.1895769859
208	0.1894572063
209	0.1892208629
210	0.1891199255
211	0.188936035
212	0.1888072714
213	0.1886847919
214	0.1885299625
215	0.1883870871
216	0.1882964782
217	0.1881831111
218	0.1880914975
219	0.1879958817
220	0.1878165552
221	0.1877086256
222	0.1875534924
223	0.1875037862
224	0.18737801225225	0.18722832226226	0.18716566227227	0.1870726228	228	0.186990229	0229	0.186851230	0230	0.186708231	0231	0.1864853206
232	0.1863828951
233	0.1863050949
234	0.1861617088
235	0.18602725
236	0.1859723257
237	0.1858562018
238	0.1857617584
239	0.185581387
240	0.1854389241	241	0.1853601242	242	0.1852134243	243	0.1850683244244	0.18501582245245	0.1849124317
246	0.18480435247247	0.18466339248248	0.1845947249	249	0.1844739250	250	0.1843987251	251	0.1843340252	252	0.184149253	253	0.1840244495
254	0.1839382341
255	0.183848339
256	0.1837739044
257	0.1837114025
258	0.1835948362
259	0.1834279781
260	0.183333473
261	0.1832289503
262	0.1831140567
263	0.1830239344
264	0.1829400064
265	0.1828068957
266	0.1826996964
267	0.1825862222
268	0.1824241205
269	0.1823323802
270	0.1821973949
271	0.1821069482
272	0.1820341926
273	0.1818909912
