iter	Passed	Remaining
0	147	147178
1	151	75615
2	159	53033
3	163	40612
4	166	33218
5	170	28216
6	175	24843
7	179	22199
8	182	20109
9	186	18425
10	190	17164
11	193	15943
12	196	14934
13	200	14115
14	205	13502
15	209	12886
16	212	12310
17	217	11886
18	223	11539
19	226	11087
20	229	10677
21	231	10311
22	236	10035
23	240	9769
24	243	9512
25	247	9270
26	252	9086
27	255	8869
28	258	8666
29	261	8467
30	264	8282
31	276	8352
32	273	8012
33	276	7867
34	280	7742
35	285	7653
36	288	7520
37	291	7385
38	300	7401
39	300	7215
40	304	7115
41	307	7014
42	310	6917
43	314	6830
44	319	6773
45	322	6697
46	326	6610
47	329	6527
48	334	6486
49	343	6517
50	346	6452
51	350	6384
52	357	6389
53	362	6350
54	365	6286
55	371	6266
56	375	6205
57	378	6144
58	381	6090
59	387	6072
60	391	6020
61	394	5974
62	398	5925
63	405	5934
64	409	5889
65	412	5837
66	419	5842
67	423	5805
68	427	5764
69	432	5743
70	436	5716
71	440	5681
72	444	5641
73	449	5630
74	453	5597
75	457	5566
76	462	5538
77	466	5518
78	469	5476
79	473	5443
80	477	5416
81	484	5419
82	487	5386
83	491	5355
84	493	5315
85	499	5309
86	502	5274
87	507	5262
88	510	5227
89	516	5221
90	519	5193
91	522	5161
92	526	5130
93	532	5131
94	535	5103
95	538	5074
96	541	5045
97	546	5032
98	550	5012
99	554	4986
100	557	4960
101	564	4970
102	569	4956
103	572	4933
104	578	4933
105	582	4912
106	585	4890
107	588	4860
108	594	4861
109	599	4847
110	602	4825
111	605	4800
112	610	4795
1113	621	48271114	624	48051115	627	47811116	634	4785117	630	4711
1118	640	47401119	643	47181120	648	47081121	650	4683122	647	4615
123	650	4592
124	653	4573
125	658	4568
126	662	4551
127	664	4530
128	667	4506
129	673	4509
130	676	4489
131	680	4473
132	683	4454
133	689	4454
134	692	4438
135	696	4422
136	700	4410
137	705	4408
138	709	4391
139	713	4379
140	716	4362
141	721	4357
142	724	4339
143	727	4323
144	731	4312
145	735	4304
146	739	4289
147	742	4274
148	746	4263
149	751	4260
150	756	4252
151	760	4242
152	765	4238
153	772	4245
154	776	4231
155	779	4217
156	784	4212
157	788	4203
158	792	4191
159	797	4188
160	801	4178
161	805	4164
162	808	4150
163	812	4142
164	815	4127
165	819	4116
166	822	4103
167	825	4089
168	830	4085
169	833	4070
170	836	4054
171	839	4039
172	842	4026
173	846	4018
174	849	4004
175	852	3990
176	855	3976
177	858	3966
178	862	3957
1179	874	39821180	877	3972181	873	3924
182	878	3921
1183	889	39461184	893	39371185	896	39241186	901	39201187	905	39091188	909	39011189	913	38931190	919	38931191	922	38811192	925	38701193	929	38621194	934	38591195	938	38501196	942	38411197	948	3840
198	952	3832
199	955	3821
200	958	3808
201	963	3807
202	968	3801
203	972	3794
204	976	3786
205	984	3792
206	991	3797
207	995	3790
208	1000	3787
209	1004	3778
210	1006	3765
211	1010	3757
212	1015	3751
213	1018	3740
214	1022	3734
215	1027	3727
216	1031	3720
217	1034	3710
218	1037	3699
219	1041	3694
220	1047	3690
221	1049	3678
222	1052	3668
223	1055	3657
224	1060	36522225	1064	36422226	1067	36322227	1070	36222228	1075	36222229	1079	36123230	1082	36023231	1086	3598
232	1091	3594
233	1095	3586
234	1098	3576
235	1101	3566
236	1106	3561
237	1110	3554
238	1113	3544
239	1116	3535
240	1118	35224241	1124	35224242	1127	35124243	1130	35024244	1134	34924245	1140	34924246	1144	34824247	1148	34824248	1154	34824249	1157	34725250	1159	34625251	1163	34525252	1167	34425253	1174	3448
254	1178	3441
255	1181	3434
256	1186	3430
257	1192	3429
258	1199	3431
259	1203	3424
260	1207	3417
261	1211	3411
262	1217	3410
263	1221	3404
264	1224	3396
265	1233	3402
266	1236	3395
267	1240	3387
268	1243	3379
269	1250	3382
270	1255	3376
271	1258	3367
272	1263	3365
273	1268	3359
274	1270	3349
275	1273	3340
276	1278	3336
277	1281	3328
278	1285	3321
279	1288	3313
280	1291	3303
281	1296	3301
282	1300	3295
283	1303	3287
284	1307	3279
285	1312	3275
286	1315	3268
287	1317	3258
288	1320	3249
289	1325	3244
290	1329	3239
291	1332	3230
292	1335	3222
293	1338	3213
294	1344	3213
295	1347	3205
296	1350	3196
297	1352	3186
298	1355	3178
299	1359	3172
300	1362	3164
301	1364	3154
302	1367	3146
303	1371	3140
304	1375	3134
305	1378	3126
306	1381	3119
307	1385	3112
308	1394	3118
309	1399	3114
310	1403	3109
311	1407	31031312	1410	30931313	1413	30831314	1421	30931315	1425	30831316	1428	30731317	1431	30731318	1438	30731319	1440	30632320	1444	30532321	1448	30432322	1452	30432323	1456	30332324	1460	30332325	1462	302326	1466	3017
32327	1470	30132328	1474	30032329	1477	30033330	1480	29933331	1486	29933332	1489	29833333	1493	29733334	1497	29733335	1502	29633336	1505	29633337	1508	29533338	1512	29433339	1517	29434340	1521	2940
341	1525	2935
342	1529	29234343	1534	29234344	1538	2920
345	1541	29134346	1544	29034347	1549	29034348	1552	28934349	1555	28835350	1560	28835351	1566	2884
352	1570	2878
353	1573	2872
354	1577	2865
355	1582	2863
356	1585	2855
357	1588	28435358	1591	28435359	1599	2843
360	1604	28436361	1608	28336362	1613	28336363	1616	28236364	1619	28136365	1623	28136366	1629	28036367	1632	28036368	1635	27936369	1638	27837370	1641	278371	1646	2779
372	1649	2773
373	1655	2771
374	1662	2770
375	1666	2765
376	1669	2759
377	1678	2762
378	1682	2756
379	1685	2750
380	1690	2746
381	1693	2740
382	1697	2734
383	1700	2727
384	1703	2720
385	1708	2717
386	1712	2712
387	1715	2705
388	1718	2698
389	1724	2697
390	1728	2692
391	1731	2685
392	1733	2678
393	1738	2674
394	1742	2668
395	1744	2661
396	1747	2654
397	1750	2647
398	1755	2644
399	1758	2638
400	1761	2630
401	1763	2623
402	1766	2617
403	1772	2615
404	1775	2608
405	1778	2602
406	1781	2595
407	1786	2592
408	1790	2586
409	1793	2580
410	1796	2574
411	1806	2577
412	1811	2574
413	1817	2572
414	1821	2566
415	1824	2560
416	1827	2554
417	1833	2552
418	1839	2550
419	1842	2544
420	1845	2538
421	1852	2536
422	1855	2531
423	1859	2525
